Age;Employ;Income;Debtinc;Creddebt;OthDebt;Education
23;0;28;19.2;1.72;3.66;SupCom
25;1;19;28.6;2.34;3.1;Med
52;23;153;4.5;2.12;4.76;SupInc
25;0;35;9.7;0.13;3.26;SupInc
22;0;31;22.8;1.31;5.75;SupCom
38;8;35;26.4;3.78;5.46;SupInc
42;16;49;9.7;0.56;4.2;Med
52;5;36;9.8;1.4;2.13;Bas
30;2;18;3;0.07;0.47;Bas
59;20;144;3.4;2.49;2.4;SupCom
34;5;44;5.6;0.74;1.72;SupInc
33;11;52;9.1;0.95;3.79;Bas
26;2;21;8.2;0.54;1.18;SupInc
25;2;26;11.9;1.24;1.86;SupInc
19;0;43;21.2;3.43;5.69;Med
41;7;47;5.2;1.64;0.81;Posg
36;2;27;9.3;0.74;1.78;Med
20;0;21;10.2;0.55;1.59;Med
33;3;34;1.2;0.23;0.18;SupCom
38;0;37;2;0.1;0.64;SupCom
40;6;36;6.6;1.58;0.8;Med
39;7;82;17.4;3.71;10.56;Med
18;0;12;8.2;0.15;0.83;Med
43;6;40;6.6;0.5;2.14;Med
39;14;46;6.5;0.5;2.49;SupCom
27;5;27;10.5;0.99;1.84;SupInc
47;17;111;8.8;5.73;4.03;SupInc
25;9;25;23.5;0.34;5.53;Bas
57;7;43;20.8;2.5;6.45;SupInc
69;6;60;18.6;1.27;9.89;Bas
20;0;22;4.2;0.54;0.39;SupInc
42;15;60;6.1;2.01;1.65;Bas
33;12;70;5.7;0.83;3.16;Med
35;0;36;4.7;0.55;1.15;SupInc
46;20;122;6.7;2.89;5.28;SupInc
24;0;27;4.2;0.44;0.69;SupCom
34;7;43;30.3;3.92;9.11;SupInc
36;7;41;18.9;3.18;4.57;Med
19;0;18;15.1;0.79;1.92;Bas
29;1;51;1.3;0.28;0.38;Posg
44;7;59;8.4;1.77;3.19;Med
19;0;28;11.7;0.82;2.45;Med
39;2;29;3.7;0.48;0.6;Bas
30;5;222;2.9;1.97;4.47;SupCom
72;44;187;9.2;4.71;12.49;Med
18;0;30;7;0.81;1.29;Med
28;7;30;8.5;0.46;2.09;SupInc
24;5;27;10;1.29;1.41;Bas
33;8;45;12.1;0.11;5.34;Med
46;7;41;2.5;0.35;0.67;SupCom
36;16;96;12.2;5.42;6.29;Med
45;13;65;28.6;10.73;7.86;Bas
59;34;154;8.5;8.33;4.76;Bas
35;9;80;12.9;4.28;6.04;Med
62;31;387;15;5.4;52.65;SupCom
29;1;38;4.5;0.82;0.89;SupCom
56;30;167;1.4;0.46;1.88;SupInc
24;4;39;21.5;3.97;4.42;Med
32;1;45;13.9;1.51;4.74;SupInc
25;6;29;5.9;0.64;1.07;Med
37;9;33;1.2;0.11;0.28;Bas
27;1;28;23.5;0.82;5.76;SupInc
56;37;160;11.4;6.77;11.47;Med
31;11;61;34.4;9.48;11.5;Med
59;31;86;6.8;1.61;4.23;Bas
65;26;186;4.2;2.98;4.83;SupInc
26;0;29;16.9;3.09;1.81;Bas
27;3;68;24.9;5.23;11.7;SupInc
30;6;22;15.5;0.13;3.28;Bas
43;22;96;1.2;0.34;0.81;Bas
30;4;64;14.1;2.83;6.19;SupCom
18;0;19;14;0.56;2.1;Med
24;1;33;14;0.06;4.56;SupInc
31;0;28;4.5;0.07;1.19;SupCom
25;4;31;3.1;0.37;0.59;Bas
24;0;48;1.2;0.06;0.51;SupCom
26;2;37;3.1;0.35;0.8;SupInc
33;13;54;16.2;2.88;5.87;Med
44;18;136;4.2;1.42;4.3;SupCom
18;0;16;6;0.4;0.56;Med
29;1;34;15.5;0.39;4.88;SupInc
21;0;27;16.5;1.16;3.3;SupInc
41;22;54;4.1;0.82;1.39;Med
40;11;238;7.9;6.34;12.47;SupCom
37;5;21;14.5;0.71;2.33;Bas
24;6;36;13.2;1.92;2.83;Bas
24;0;18;2.9;0.18;0.34;SupCom
18;0;25;2.9;0.56;0.16;Med
30;5;95;7;3.46;3.19;SupCom
36;4;45;13.2;0.33;5.61;Bas
63;8;92;5.6;0.89;4.27;SupInc
56;16;232;2.8;2.1;4.39;Posg
41;9;68;28.3;4.52;14.72;Med
23;0;53;3;0.63;0.96;SupCom
25;0;32;14.6;1.45;3.22;Posg
22;1;22;3.2;0.16;0.55;Bas
58;19;114;6.4;0.28;7.02;Med
31;7;53;2.7;0.73;0.7;SupInc
47;6;40;8.7;1.31;2.17;Med
55;13;63;17.5;2.56;8.47;Med
27;0;30;4.3;0.42;0.87;Posg
30;7;60;21.6;5.57;7.39;SupInc
35;6;32;7.6;0.82;1.61;Med
30;4;30;9.2;0.89;1.87;SupCom
19;0;23;8.8;1.11;0.92;Med
38;14;98;16.5;1.34;14.83;SupCom
20;1;19;8;0.78;0.74;Med
43;14;61;10.8;2.17;4.41;Med
25;2;25;9.9;1.4;1.08;Med
41;11;36;10.2;1.37;2.31;Bas
37;3;36;6.7;0.68;1.73;SupInc
22;0;17;3.7;0.14;0.49;Bas
23;0;27;17.6;2.13;2.62;Med
45;1;60;9.9;1.14;4.8;SupCom
19;1;20;8.8;0.55;1.21;Bas
26;6;23;13.6;0.13;3;Med
25;0;21;22.3;1.68;3.01;SupCom
49;1;51;11.2;1.86;3.85;SupCom
76;15;26;5.6;0.14;1.32;Bas
28;1;16;5.2;0.5;0.33;SupInc
37;18;36;4.8;0.44;1.29;Bas
41;9;29;5.6;0.25;1.38;Bas
30;8;68;2.4;0.27;1.36;Med
39;4;78;14;7.21;3.71;SupInc
25;2;19;3.4;0.19;0.46;SupInc
26;0;19;7.7;0.67;0.79;Posg
24;8;28;6.6;0.26;1.59;Bas
61;0;42;18.4;4.01;3.72;Bas
26;6;38;10.6;2.57;1.46;Med
18;0;44;9.2;1.25;2.8;Med
41;21;189;6.3;6.22;5.69;Med
49;9;64;6.1;0.33;3.57;SupInc
18;0;20;3.9;0.37;0.41;Bas
18;0;24;6.5;0.3;1.26;Med
52;2;96;7.1;2.28;4.54;SupCom
32;2;30;9.4;1.18;1.64;Med
27;6;42;9.1;2.19;1.64;Med
23;0;57;17.8;2.73;7.42;SupInc
29;3;46;8.1;0.29;3.44;SupCom
73;53;410;4.1;3.11;13.7;Med
31;3;22;4.6;0.23;0.79;SupCom
19;0;28;9.1;0.87;1.68;Med
57;4;39;4.3;0.56;1.12;Med
18;0;19;1.5;0.06;0.22;Med
22;1;19;8.9;0.49;1.2;Bas
21;0;30;4.3;0.18;1.11;Med
33;4;60;9.5;1.61;4.09;SupInc
21;0;41;23.4;1.97;7.63;SupInc
42;18;63;11.3;2.54;4.58;SupInc
32;10;38;11.5;1.05;3.32;SupInc
33;5;105;13.4;7.05;7.02;SupCom
73;50;289;8.4;7.84;16.43;Bas
61;23;81;8.9;1.7;5.51;SupCom
38;2;229;6.7;3.94;11.4;Posg
46;13;45;22.2;3.33;6.66;SupInc
20;0;20;7.2;0.34;1.1;SupInc
19;0;24;15.6;0.75;3;Med
28;0;47;18.6;6.71;2.04;SupCom
24;0;21;6.6;0.58;0.81;SupCom
53;1;30;8.8;0.41;2.23;Bas
35;14;62;8.2;0.6;4.48;Med
43;7;53;3.7;0.85;1.11;Med
32;9;33;8.1;1.15;1.52;Bas
27;9;28;5.7;0.11;1.49;Bas
18;0;22;1.5;0.13;0.2;Med
19;0;31;28.7;5.36;3.53;Med
18;0;36;6.2;1.05;1.18;Med
54;20;82;20;4.35;12.05;Med
43;0;31;2.4;0.28;0.46;SupInc
50;15;65;12.6;3.05;5.14;Med
26;10;31;8.8;0.78;1.95;Bas
35;4;57;6;1.29;2.13;Med
47;6;34;4.4;0.53;0.97;Med
31;2;19;15.9;0.94;2.08;Posg
40;7;53;12.4;1.48;5.09;SupInc
56;14;206;27.9;15.29;42.19;SupCom
34;3;72;7.6;0.38;5.09;SupCom
18;0;18;12.7;0.65;1.64;Med
46;24;78;6.9;2.74;2.64;Med
31;2;45;3.1;0.43;0.96;Med
25;1;16;2.1;0.15;0.19;Med
79;63;497;8.2;15.08;25.68;Bas
43;21;125;11.5;6.33;8.05;SupInc
26;9;41;22.1;0.62;8.44;Bas
26;1;36;12.5;1.59;2.91;SupInc
18;0;28;17;1.75;3.01;Bas
30;0;25;7.4;0.26;1.59;Med
47;3;69;5.2;0.9;2.69;SupInc
18;0;35;12.4;1.13;3.21;Med
30;13;38;4.6;0.34;1.41;Bas
21;0;25;6.7;1.29;0.38;SupInc
33;4;119;15.3;6.57;11.63;SupCom
36;3;28;4.9;0.26;1.12;Med
26;7;49;17.7;5.38;3.3;Med
20;0;21;1.3;0.18;0.09;SupInc
56;19;76;1.2;0.18;0.73;Med
42;7;130;11.6;3.33;11.75;SupCom
23;0;47;8.9;0.62;3.56;SupCom
32;3;86;7.9;2.2;4.59;SupInc
20;0;30;10.6;2.53;0.65;SupInc
19;0;21;12;0.35;2.17;Med
26;1;26;11.1;1.69;1.19;Med
19;0;20;0.1;0.01;0.01;Med
59;31;102;0.3;0.1;0.2;SupInc
21;0;13;8.3;0.45;0.63;SupInc
39;14;152;27.4;13.41;28.24;SupCom
18;0;12;3.3;0.11;0.29;Med
20;0;38;7.5;0.36;2.49;Med
33;1;23;4.2;0.19;0.77;SupCom
19;1;16;3.4;0.31;0.24;Bas
29;5;52;16.8;5.63;3.1;SupInc
70;48;165;14.8;0.56;23.86;SupInc
44;22;93;9;4.38;3.99;Bas
40;20;117;11.9;4.94;8.98;Med
21;1;23;7.4;0.26;1.44;Med
43;8;48;9.7;1.32;3.34;Med
27;3;28;4.2;0.54;0.64;Med
21;0;21;10.4;1.54;0.65;SupInc
29;3;45;14.1;1.68;4.66;Med
41;2;40;7.9;0.31;2.85;Med
28;5;30;7;0.46;1.64;SupCom
48;5;43;6.9;2.26;0.7;Med
25;0;66;2.8;0.9;0.94;Posg
41;3;62;7;2.89;1.45;Med
22;1;24;16.1;0.8;3.07;Med
47;8;43;11.8;2.27;2.8;SupInc
18;0;24;5.3;0.59;0.68;Med
28;0;50;8.6;0.28;4.02;Posg
41;5;37;5.8;0.35;1.8;Med
31;2;42;10.3;0.86;3.47;Med
19;0;21;14.3;1.22;1.78;Med
31;1;28;2;0.17;0.39;SupInc
18;0;21;21.8;1.44;3.14;Med
39;5;39;4.2;0.72;0.92;Med
20;0;17;7.3;0.57;0.67;Med
31;8;29;6.8;1.12;0.85;SupCom
23;3;41;5.5;0.67;1.58;Bas
25;3;58;20.6;3.5;8.45;SupInc
29;3;47;2.9;0.53;0.83;SupCom
38;15;136;20.2;6.76;20.71;SupInc
39;8;41;0.1;0.03;0.01;Bas
28;4;20;15.5;0.3;2.8;SupCom
40;10;38;6.1;0.92;1.4;SupInc
46;2;56;2.3;0.41;0.87;SupInc
61;45;209;10.9;4.12;18.66;Bas
49;18;182;4.8;0.94;7.79;SupCom
71;35;131;11.6;6.03;9.16;Med
20;2;20;2.7;0.2;0.34;Bas
20;0;20;11.3;1.96;0.3;SupInc
18;0;29;5.6;0.9;0.73;Med
32;3;59;9;1.85;3.46;Posg
42;2;22;13.6;1.46;1.53;SupInc
43;9;57;4.5;1.81;0.76;SupInc
27;7;43;10;1.2;3.1;Bas
23;3;66;2.7;0.79;0.99;Med
21;1;33;13.1;1.31;3.01;Med
49;24;90;13.9;8.06;4.45;SupInc
49;28;93;12.8;1.56;10.34;Med
19;0;28;9.7;1.35;1.37;Med
24;0;21;11;0.72;1.59;SupCom
23;0;30;12.8;2.3;1.54;SupCom
43;13;82;9.9;1.78;6.34;SupInc
28;8;22;5.4;0.17;1.02;Med
26;2;36;14.4;1.89;3.29;SupCom
40;7;33;12.4;0.65;3.45;SupCom
47;22;108;8.9;1.37;8.24;Bas
19;0;22;16.8;1.64;2.06;Med
71;18;57;11.5;2.58;3.97;Bas
72;26;146;12.6;2.12;16.28;SupCom
45;1;43;2.8;0.38;0.82;Med
20;0;29;17;1.93;3;SupInc
42;7;47;7.8;1.02;2.65;Med
33;1;40;13.3;0.87;4.45;SupCom
42;19;63;20.4;5.31;7.54;Med
20;0;28;10.4;0.93;1.98;SupInc
20;0;19;4.5;0.35;0.51;SupInc
20;0;20;13.5;0.59;2.11;SupInc
34;11;68;11.9;3.37;4.73;SupInc
39;12;47;9.5;1.03;3.43;Bas
42;2;38;3.6;0.39;0.98;Bas
61;7;35;10.4;0.7;2.94;Bas
30;2;61;2.9;0.64;1.13;SupCom
39;12;82;6.2;1.79;3.29;SupCom
26;5;25;10.8;1.13;1.57;SupInc
62;12;108;7.3;1.38;6.5;SupInc
48;17;81;30;11.64;12.66;Med
39;17;165;3.3;2.55;2.89;SupInc
51;33;234;9.6;4.25;18.22;Bas
31;4;43;6.9;0.66;2.31;SupInc
45;19;286;5;4.53;9.77;SupInc
44;0;167;10.6;7.79;9.91;SupCom
28;9;36;3.2;0.09;1.06;Med
36;8;41;11.1;1.57;2.98;SupInc
38;4;66;10.7;2.4;4.66;Posg
61;22;108;22.2;6.04;17.93;Med
66;6;61;7.7;1.2;3.49;SupInc
24;5;31;10.4;0.7;2.52;Med
45;12;44;9.8;1.6;2.72;Bas
47;8;33;15.4;1.71;3.37;Posg
19;0;25;3.9;0.68;0.29;Med
28;2;26;23.6;0.74;5.4;Med
40;3;35;10;1.09;2.42;SupCom
25;1;27;14.2;0.46;3.38;SupCom
64;26;56;20.3;2.01;9.36;Bas
40;15;78;15.5;3.52;8.57;SupInc
37;1;90;1.8;0.25;1.37;Posg
56;35;236;3.9;6.68;2.52;Med
33;8;102;28.8;7.93;21.44;SupInc
66;30;104;6.7;2.29;4.68;SupInc
18;0;28;9.9;1.05;1.72;Med
52;28;108;3.9;2.21;2;SupInc
46;2;38;8.2;0.5;2.62;Bas
51;3;19;4.9;0.34;0.59;Med
34;6;45;9.1;1.31;2.78;Med
19;0;18;6.3;0.26;0.87;Med
52;33;80;9;1.06;6.14;Bas
24;2;29;23.6;0.47;6.38;Bas
35;5;47;16.1;3.18;4.39;SupCom
29;1;50;15.1;2.67;4.88;SupCom
47;10;48;7;1.98;1.38;Med
26;4;50;0.8;0.13;0.27;SupInc
27;2;34;11.4;2.16;1.72;SupCom
19;0;36;6.7;0.89;1.52;Med
51;28;134;4.1;1.75;3.74;Med
46;13;94;15.7;8.31;6.45;Bas
23;1;30;13.6;2.04;2.04;SupInc
19;0;20;5.6;0.16;0.96;Med
23;3;27;17.8;0.93;3.88;Med
30;1;16;8.5;1.08;0.28;SupCom
21;0;35;6.8;0.91;1.47;SupInc
20;0;35;5.8;0.76;1.27;SupInc
23;0;36;1.1;0.1;0.29;SupCom
46;2;27;12.1;0.55;2.72;SupInc
43;20;180;7.3;4.2;8.94;Med
27;5;28;5.2;0.5;0.96;Med
45;3;38;22.1;2.59;5.8;Bas
22;1;27;9.8;0.25;2.4;SupInc
41;13;50;14.2;3.72;3.38;Med
52;8;43;17.5;3.44;4.09;Bas
53;34;251;15.9;12.37;27.54;Med
20;0;45;7.7;1.14;2.32;SupInc
30;2;99;1.5;0.8;0.69;Posg
68;0;22;12.5;1.05;1.7;Med
31;0;41;3.8;1.11;0.44;SupCom
54;2;32;6.7;0.17;1.97;Med
26;2;38;7.6;1.39;1.49;SupInc
32;12;61;8.2;0.3;4.71;Med
27;4;34;15.1;0.84;4.3;Med
60;22;60;22.3;3.25;10.13;SupInc
47;13;58;3.5;0.62;1.41;Med
47;6;75;15.2;2.93;8.47;Med
69;7;75;13.5;1.03;9.09;SupCom
45;7;32;5.4;0.13;1.6;Med
29;2;31;6.8;1.41;0.7;SupInc
29;4;67;7.9;0.93;4.36;SupInc
27;5;33;5.1;0.58;1.1;Bas
44;9;37;18.4;2.92;3.89;Bas
21;0;55;17.1;6.9;2.5;SupInc
26;4;28;15;2.38;1.82;SupInc
56;26;384;11.2;23.31;19.7;SupInc
38;4;91;3.9;1.02;2.53;SupCom
42;17;54;10.3;0.29;5.27;SupCom
43;13;59;11;1.72;4.77;SupInc
37;17;123;10.6;3.89;9.15;Med
64;15;227;29.9;35.97;31.9;SupInc
39;0;38;7.5;0.2;2.65;Med
21;1;20;20.3;0.41;3.65;Med
30;5;62;2.6;0.7;0.91;SupCom
52;9;72;15.4;4.08;7.01;Med
40;5;62;8;1.49;3.47;SupCom
23;3;25;2.5;0.17;0.45;Med
40;2;32;3.4;0.18;0.91;Med
19;0;37;3;0.21;0.9;Med
22;0;36;3.3;0.28;0.91;SupCom
50;20;67;18.4;7.24;5.09;Bas
36;7;67;8.2;3.1;2.4;Posg
47;14;36;0.9;0.08;0.24;SupInc
19;0;50;1.8;0.49;0.41;Med
32;10;70;3.2;0.85;1.39;SupInc
20;0;32;8.5;1.11;1.61;SupInc
20;0;26;4;0.39;0.65;Med
22;0;31;7.6;0.2;2.16;SupCom
23;0;45;10.7;0.61;4.2;SupCom
62;4;38;11.3;0.94;3.35;Med
29;9;69;6.7;1.07;3.55;Med
34;6;33;6.4;0.53;1.59;Bas
18;0;25;6.2;0.62;0.93;Med
23;2;47;14.6;2.94;3.93;SupInc
35;5;62;8.5;1.99;3.28;Bas
30;5;27;6.2;0.86;0.81;SupInc
36;7;118;11.2;8.48;4.73;SupInc
18;0;28;2.4;0.22;0.45;Med
26;2;30;40.7;5.49;6.72;Med
18;0;33;8.2;0.84;1.87;Med
31;11;47;26.9;3.51;9.13;Med
33;3;46;3.8;0.41;1.34;SupInc
20;2;20;18.8;1.19;2.57;Bas
22;0;36;10.7;1.67;2.18;SupCom
22;3;45;11.1;1.85;3.15;Med
22;4;24;4.4;0.53;0.52;Bas
26;0;103;14.3;8.54;6.19;SupCom
34;10;96;5.4;1.65;3.53;Bas
30;13;42;15.3;0.94;5.48;Bas
40;15;53;23.5;1.91;10.55;SupInc
21;1;43;14.1;3.38;2.69;Med
20;0;28;18;3.07;1.97;Med
18;0;20;14.5;0.33;2.57;Med
53;24;129;2.7;1.01;2.48;Med
70;27;92;9.3;3.01;5.54;Med
26;0;49;4.4;0.95;1.21;Posg
43;16;119;18.1;8.16;13.38;Med
38;3;34;3.9;0.86;0.46;SupInc
31;3;45;0.7;0.13;0.19;Med
24;0;35;1.2;0.04;0.38;SupCom
44;21;314;4.7;3.5;11.26;SupCom
62;31;699;5.9;6.6;34.64;Posg
52;24;403;5.1;8.32;12.23;SupInc
33;3;40;1.2;0.26;0.22;SupCom
26;1;39;2;0.33;0.45;SupCom
34;4;46;5.5;0.7;1.83;Med
54;0;66;9.6;1.98;4.35;SupCom
61;0;25;33;3.42;4.83;Bas
44;2;91;4.8;1.02;3.35;Posg
22;0;16;9.8;0.31;1.26;Med
19;3;21;7.1;0.48;1.01;Bas
20;0;26;8.9;0.5;1.81;Med
35;10;44;0.5;0.11;0.11;SupCom
24;0;28;4;0.7;0.42;SupCom
30;1;33;7.4;0.63;1.81;Posg
21;1;29;24;2.2;4.76;Bas
45;0;81;4.1;1.51;1.81;SupCom
38;9;66;1.2;0.59;0.2;Posg
21;1;37;8.5;0.9;2.25;Med
45;7;42;36.8;10.19;5.27;SupCom
40;22;141;11;5.06;10.45;Bas
22;0;74;7.5;1.86;3.69;SupCom
56;34;475;2.3;3.88;7.05;Med
37;9;41;2.9;0.11;1.08;Med
29;3;42;9.3;1.77;2.14;Med
37;10;97;8.3;2.01;6.04;SupCom
20;3;21;17.9;0.53;3.23;Bas
30;6;20;9.7;0.51;1.43;SupInc
26;0;36;17.9;3.02;3.43;SupCom
18;0;47;3.6;1.21;0.48;Med
31;5;27;4.2;0.56;0.57;Bas
44;8;49;16.3;2.46;5.53;SupInc
19;0;24;12.5;0.94;2.06;Med
77;2;28;10.6;1.37;1.6;Posg
37;0;83;14.9;5.9;6.47;SupCom
35;9;123;6.1;1.7;5.8;SupCom
24;0;64;13;3.98;4.34;SupCom
31;1;43;7.9;2.49;0.9;SupCom
59;19;174;27.9;16.41;32.14;SupCom
18;0;27;4.1;0.17;0.94;Med
29;8;35;21.1;1.65;5.73;Med
38;6;25;31.3;2.21;5.61;SupCom
27;3;26;2;0.04;0.48;SupInc
49;15;35;3;0.74;0.32;Med
24;1;23;14.8;0.8;2.61;SupInc
27;3;36;16.2;1.39;4.44;SupCom
26;2;26;14.5;0.56;3.21;Med
32;0;37;3.1;0.59;0.55;SupCom
53;16;51;4.1;0.95;1.14;Posg
19;0;17;14.1;1.04;1.36;Med
18;0;19;6.4;0.4;0.82;Med
19;1;21;7.9;1.1;0.55;Med
51;25;96;21.5;7.31;13.33;Med
30;3;40;16.9;2.22;4.54;Posg
63;22;61;13.5;1.83;6.41;Bas
30;1;73;29.8;7.05;14.71;SupCom
27;3;43;4.5;0.58;1.36;SupCom
42;15;46;13.1;1.06;4.97;Med
24;0;44;13.5;2.38;3.56;SupCom
20;0;23;23.6;3.54;1.89;Med
28;4;20;6.2;0.57;0.67;SupInc
25;3;23;5;0.28;0.87;Med
24;0;49;5;0.87;1.58;SupCom
36;9;76;5.7;0.29;4.04;SupInc
44;11;50;22;2.11;8.89;Med
23;0;45;15.8;1.12;5.99;SupInc
32;1;26;3.3;0.24;0.62;SupInc
32;9;53;14.9;5.81;2.08;Med
35;7;76;7;0.56;4.76;SupCom
30;3;34;14.3;2.26;2.61;SupInc
30;4;36;9.6;0.83;2.63;Bas
31;6;26;6.5;0.33;1.36;Med
23;0;16;17.2;0.91;1.84;Bas
46;11;61;10.4;3.44;2.9;Bas
59;33;308;6.7;7.39;13.25;Bas
39;1;185;7;10.45;2.5;Posg
29;3;55;27.1;8.35;6.56;Posg
26;2;19;3.8;0.11;0.62;SupCom
34;6;27;6.4;0.27;1.46;Med
30;12;35;5.7;1.34;0.66;Bas
23;0;29;9.4;0.84;1.89;SupCom
22;0;76;7.7;3.62;2.24;SupCom
27;0;46;1.9;0.23;0.64;SupCom
30;0;70;6.9;0.37;4.46;SupInc
23;0;22;9;0.71;1.27;Med
42;12;34;6.1;0.56;1.52;Posg
29;2;55;15.6;1.48;7.1;SupCom
47;16;66;1.7;0.1;1.02;Med
34;8;30;5.7;1.08;0.63;SupCom
31;11;51;12.4;4.14;2.19;Med
35;10;53;19;3.64;6.43;SupCom
19;2;21;12;0.15;2.37;Bas
30;7;40;11.4;1.78;2.78;Bas
25;0;35;0.6;0.07;0.14;SupCom
38;11;40;8.8;1.65;1.87;Posg
18;0;34;2.8;0.29;0.66;Med
53;10;62;13.4;2.38;5.93;Med
31;10;60;27.3;6.27;10.11;Bas
38;7;274;2.3;4.32;1.99;SupCom
19;0;21;2.5;0.03;0.49;Med
20;2;18;2.3;0.06;0.36;Bas
21;2;22;9.2;1.05;0.98;Med
19;0;17;5.5;0.51;0.43;Med
23;0;42;12.2;2.24;2.88;SupCom
65;25;48;7.7;2.81;0.88;Med
45;18;88;9.6;4.04;4.41;Posg
21;0;22;1.5;0.1;0.23;SupInc
54;8;67;10.5;1.25;5.79;SupInc
22;0;24;8;0.64;1.28;SupCom
20;0;23;14.2;1.86;1.4;SupInc
41;12;58;13.1;3.78;3.81;Med
36;14;71;6.9;1.43;3.47;Med
33;11;79;10.8;3.08;5.45;SupInc
23;2;34;3.3;0.22;0.9;Med
46;8;119;5.6;1.11;5.55;SupInc
21;0;15;6.1;0.07;0.84;SupInc
28;2;62;34.8;3.86;17.71;SupCom
39;9;69;6;0.55;3.59;SupInc
54;4;69;12;1.18;7.1;SupCom
75;22;56;7.8;1.79;2.58;Bas
31;1;69;0.4;0.19;0.09;SupCom
55;32;229;4.9;3.03;8.19;Med
20;0;18;17.4;0.42;2.71;SupInc
39;3;42;15.2;3.08;3.31;Posg
37;2;55;8;1.64;2.76;SupInc
20;0;41;4.3;0.47;1.29;SupInc
57;10;149;10;3.64;11.26;SupCom
50;20;117;7.6;3.15;5.74;Bas
33;2;28;1.6;0.14;0.31;Bas
36;16;44;7.4;1.96;1.3;Bas
21;1;29;5.7;0.64;1.01;Med
37;12;121;13.6;4.69;11.77;SupInc
27;0;24;6.1;0.17;1.3;Posg
28;5;112;9.9;0.93;10.16;SupCom
27;4;40;13.2;3.73;1.55;SupInc
32;4;37;4.1;0.48;1.04;SupInc
28;6;33;20.5;1.1;5.67;Med
24;0;35;12.1;2.47;1.77;SupCom
20;0;44;3.9;1.07;0.65;Med
39;16;47;16.5;4.16;3.6;SupCom
38;11;145;18.5;1.45;25.38;SupCom
65;38;352;2.5;0.39;8.41;Med
56;34;215;13.9;14.37;15.51;Med
18;0;57;3.1;1.24;0.53;Med
20;0;18;9.5;0.16;1.55;Bas
62;4;27;13.2;1.73;1.84;Bas
39;13;112;21.2;4.63;19.11;Med
29;3;102;9.8;4.83;5.17;SupCom
30;4;46;3.9;1.26;0.54;SupCom
52;21;121;2.4;0.39;2.51;SupInc
48;19;326;10.6;21.18;13.37;Posg
20;2;42;3.1;0.89;0.41;Bas
34;7;33;7.5;1.88;0.6;SupCom
68;51;274;7;8.59;10.59;Bas
47;16;51;14.2;3.4;3.85;Bas
37;12;29;9.3;0.88;1.82;Med
36;9;35;0.8;0.09;0.19;Med
30;1;107;8.9;1.44;8.09;SupCom
24;0;21;13.7;1.38;1.5;Med
24;0;49;13.6;3.04;3.63;SupCom
31;0;34;4.2;0.71;0.71;Med
41;15;89;9.2;2.55;5.63;SupCom
19;0;25;24.7;1.23;4.95;Med
20;0;23;1;0.02;0.21;SupInc
30;8;65;9.2;2.45;3.53;Med
42;5;72;19.3;0.25;13.65;Med
27;5;34;1;0.06;0.28;Bas
24;0;38;1.6;0.03;0.57;SupCom
38;16;71;6.6;1.54;3.15;Med
24;7;29;13.6;0.64;3.3;Bas
48;7;80;3.7;0.79;2.17;Med
49;0;77;2;0.21;1.33;SupCom
18;0;29;25.9;2.39;5.12;Med
64;11;27;2.4;0.08;0.57;Med
19;3;22;10.9;0.47;1.93;Bas
49;2;36;23.6;2.66;5.84;SupInc
29;1;26;6.6;0.51;1.21;SupCom
